Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
29.0,5556.0,1622.0,Contract,44.0,Single,1.0,615.0,0.0,0.32,18258.0,17965.0,2795.0,48.0,Home,Semiurban,Graduate,Male,Unemployed,No
30.0,5890.0,8041.0,Self-employed,47.0,Single,,570.0,0.0,0.23,11264.0,48003.0,27122.0,60.0,Personal,Urban,Graduate,Male,Private,No
31.0,10838.0,341.0,Salaried,56.0,Married,1.0,649.0,3.0,0.2,16360.0,49478.0,32602.0,60.0,Car,Urban,Graduate,Male,Private,No
32.0,16502.0,2074.0,Self-employed,54.0,Single,,,0.0,0.43,12872.0,15434.0,25983.0,24.0,Personal,Urban,Graduate,Female,MNC,No
33.0,12627.0,7992.0,Contract,49.0,Married,,593.0,4.0,0.1,17600.0,47246.0,34608.0,48.0,Home,Urban,Not Graduate,Female,Government,No
34.0,10792.0,645.0,Self-employed,44.0,Married,2.0,652.0,3.0,0.5,5557.0,37649.0,24675.0,12.0,Car,,Not Graduate,Female,Unemployed,No
35.0,12555.0,4263.0,Self-employed,44.0,Married,2.0,596.0,2.0,0.14,6367.0,2999.0,3410.0,60.0,Personal,Rural,Not Graduate,Female,Unemployed,Yes
,12253.0,8801.0,Salaried,24.0,Married,2.0,588.0,4.0,0.2,15994.0,15849.0,37928.0,72.0,Personal,Urban,Graduate,Male,,No
37.0,10433.0,6136.0,Salaried,23.0,Single,2.0,578.0,0.0,,4812.0,11903.0,32863.0,36.0,Car,Semiurban,Graduate,Male,Private,No
38.0,12233.0,8646.0,Salaried,54.0,Single,0.0,603.0,1.0,0.34,14303.0,48468.0,16794.0,48.0,Car,Urban,Graduate,Male,Private,No
39.0,13016.0,2969.0,Contract,,Single,1.0,639.0,2.0,0.28,8467.0,6445.0,6507.0,84.0,Car,Semiurban,Graduate,Female,Self,Yes
40.0,4612.0,3028.0,Contract,43.0,Single,0.0,634.0,1.0,0.26,10751.0,36396.0,30737.0,84.0,Home,Rural,Not Graduate,Male,Government,No
41.0,17787.0,7643.0,Contract,25.0,Single,2.0,566.0,4.0,0.58,4746.0,19040.0,8126.0,72.0,Car,Semiurban,Graduate,Female,Government,No
42.0,19159.0,2681.0,Salaried,51.0,Married,0.0,629.0,0.0,0.42,18956.0,1246.0,10999.0,72.0,Home,Rural,Graduate,,Private,No
43.0,14206.0,3629.0,Self-employed,26.0,Married,1.0,737.0,2.0,0.11,19412.0,32153.0,33031.0,48.0,Personal,Semiurban,Graduate,Female,Private,Yes
,10226.0,4225.0,Contract,57.0,Married,0.0,708.0,,0.32,3493.0,6212.0,28655.0,36.0,Personal,Semiurban,Not Graduate,Male,Government,No
45.0,16541.0,3067.0,Self-employed,30.0,Single,2.0,792.0,2.0,0.54,7559.0,4339.0,7807.0,60.0,Car,Semiurban,Not Graduate,Male,Private,Yes
46.0,5152.0,5941.0,Contract,27.0,Single,2.0,622.0,1.0,0.25,4020.0,24142.0,27939.0,36.0,Car,Rural,Graduate,,Private,No
47.0,3585.0,1386.0,Contract,59.0,Married,0.0,772.0,1.0,0.15,14091.0,20394.0,33592.0,24.0,Home,Rural,Graduate,Female,Private,Yes
48.0,5943.0,2866.0,Salaried,58.0,Single,2.0,755.0,3.0,0.48,9309.0,36136.0,8726.0,12.0,Personal,Semiurban,Graduate,Male,Private,No
49.0,3021.0,4788.0,Salaried,41.0,Single,0.0,598.0,0.0,0.4,778.0,13186.0,21027.0,12.0,Education,Rural,Graduate,Female,Self,No
50.0,13653.0,5490.0,,,Married,1.0,650.0,3.0,0.39,11145.0,35607.0,35348.0,72.0,Personal,Urban,Not Graduate,Female,Self,No
51.0,12805.0,4124.0,Salaried,23.0,Married,2.0,551.0,2.0,0.13,8586.0,39973.0,37450.0,60.0,Business,Rural,Graduate,Male,Private,No
52.0,,8340.0,Self-employed,42.0,Married,0.0,793.0,3.0,0.17,1811.0,5395.0,5111.0,,Business,,Graduate,Male,Private,Yes
53.0,9989.0,3850.0,Contract,24.0,Married,3.0,725.0,3.0,0.41,17656.0,,2034.0,72.0,Car,Urban,Graduate,Male,Government,No
,11692.0,5415.0,Salaried,48.0,Married,0.0,787.0,0.0,0.2,17233.0,23151.0,25327.0,48.0,Home,Urban,Graduate,Male,Private,Yes
55.0,14990.0,7679.0,Salaried,32.0,Married,0.0,691.0,2.0,0.35,2761.0,4691.0,10491.0,72.0,Personal,Rural,Not Graduate,Female,Unemployed,Yes
56.0,8873.0,6819.0,Self-employed,58.0,Married,3.0,608.0,3.0,0.37,,8470.0,9269.0,48.0,Home,Rural,Graduate,Male,Self,Yes
57.0,,,Salaried,56.0,Married,0.0,646.0,1.0,0.24,14753.0,4841.0,33434.0,48.0,Personal,Rural,Graduate,Male,MNC,
58.0,2161.0,1333.0,Salaried,25.0,Single,3.0,648.0,4.0,0.57,5101.0,38116.0,12599.0,24.0,Business,Rural,Not Graduate,Male,Government,No
59.0,6297.0,4150.0,Salaried,33.0,Married,3.0,735.0,1.0,0.52,7192.0,18776.0,,24.0,Business,Semiurban,Graduate,Male,Private,No
60.0,2995.0,6766.0,Salaried,43.0,Single,0.0,,0.0,0.46,3783.0,7060.0,12479.0,48.0,Car,Rural,Not Graduate,Male,Government,No
61.0,13534.0,2711.0,Salaried,50.0,Married,1.0,735.0,1.0,,7975.0,28584.0,13454.0,60.0,Personal,Rural,Graduate,Male,Private,Yes
62.0,9629.0,4853.0,Salaried,57.0,Married,0.0,788.0,4.0,0.15,2758.0,49293.0,38504.0,24.0,Personal,Semiurban,Graduate,Male,Private,Yes
63.0,3016.0,6212.0,Salaried,45.0,Single,1.0,728.0,1.0,0.35,,5300.0,33978.0,,Business,Urban,Graduate,Male,Private,No
64.0,10529.0,7479.0,Contract,47.0,Married,0.0,761.0,3.0,0.18,15923.0,4338.0,29455.0,12.0,Business,Semiurban,Graduate,Female,Private,Yes
65.0,19262.0,5408.0,Salaried,34.0,Married,0.0,551.0,3.0,0.59,15997.0,6487.0,4288.0,72.0,Education,Rural,,Male,Private,No
66.0,11268.0,7715.0,Self-employed,56.0,Single,0.0,792.0,1.0,0.18,7757.0,37282.0,16345.0,12.0,Home,Rural,Graduate,Male,,Yes
67.0,14185.0,8942.0,Salaried,59.0,Married,1.0,590.0,0.0,0.34,6463.0,,22509.0,60.0,Car,Rural,Graduate,Male,Government,No
68.0,8331.0,1762.0,Salaried,36.0,Married,3.0,760.0,3.0,0.28,7317.0,31262.0,11901.0,24.0,,Rural,Graduate,Male,MNC,Yes
69.0,10571.0,7101.0,Self-employed,42.0,Married,2.0,672.0,1.0,0.42,11786.0,12280.0,4227.0,84.0,Home,Rural,Graduate,Male,Private,No
70.0,9208.0,7674.0,Salaried,41.0,Married,2.0,778.0,3.0,0.16,,,36538.0,24.0,,Rural,,Female,Government,Yes
71.0,7276.0,6122.0,Salaried,41.0,Married,1.0,631.0,1.0,,11890.0,29804.0,18920.0,36.0,Education,Semiurban,Graduate,Male,Private,No
72.0,18448.0,481.0,Self-employed,28.0,Married,2.0,693.0,1.0,0.24,4252.0,10915.0,23073.0,60.0,Home,Urban,Graduate,Female,MNC,Yes
73.0,18216.0,153.0,Self-employed,36.0,Single,0.0,681.0,3.0,0.54,,12158.0,2095.0,84.0,Home,Semiurban,Not Graduate,Male,Private,No
74.0,10006.0,7617.0,Salaried,51.0,Single,2.0,689.0,1.0,0.12,18236.0,9621.0,33690.0,72.0,Car,Semiurban,Graduate,Female,Unemployed,Yes
75.0,4568.0,1524.0,Salaried,30.0,Single,3.0,578.0,1.0,0.56,6348.0,11547.0,23022.0,72.0,Business,Rural,Graduate,Female,Private,No
76.0,4027.0,,Self-employed,52.0,,0.0,684.0,1.0,0.52,15267.0,24177.0,,,Car,Semiurban,Graduate,Male,Unemployed,No
77.0,4695.0,2343.0,Salaried,54.0,Single,2.0,563.0,1.0,0.25,8125.0,47253.0,31294.0,72.0,Home,Urban,Graduate,Male,Private,No
78.0,17422.0,5136.0,Self-employed,29.0,Married,2.0,796.0,,0.49,8130.0,3459.0,,84.0,Home,Urban,Graduate,,Private,Yes
79.0,7258.0,5760.0,Self-employed,37.0,Single,3.0,561.0,3.0,0.12,3945.0,29768.0,1654.0,60.0,,Semiurban,Not Graduate,Male,Private,No
80.0,8736.0,1240.0,Unemployed,31.0,,2.0,648.0,1.0,0.58,5997.0,39041.0,13517.0,84.0,Education,Semiurban,Not Graduate,Female,Private,No
81.0,2391.0,60.0,Salaried,52.0,,0.0,682.0,2.0,0.36,8393.0,43225.0,38973.0,84.0,Car,Urban,Graduate,Male,Unemployed,No
82.0,15986.0,1639.0,Contract,30.0,Married,0.0,630.0,2.0,0.25,6398.0,39191.0,29378.0,36.0,Car,Urban,Graduate,Male,Government,No
83.0,14666.0,6185.0,Salaried,42.0,Married,0.0,799.0,1.0,0.28,13935.0,18434.0,4751.0,36.0,Home,Semiurban,Graduate,Female,,Yes
84.0,7892.0,7970.0,Salaried,37.0,Married,,655.0,1.0,0.13,11333.0,39247.0,17488.0,12.0,Personal,Urban,Not Graduate,Female,MNC,Yes
85.0,5561.0,1252.0,Salaried,24.0,Single,0.0,581.0,4.0,0.59,5132.0,16419.0,35034.0,60.0,Personal,Urban,,Male,Government,No
86.0,8184.0,4203.0,Self-employed,45.0,Married,2.0,623.0,3.0,0.12,15681.0,36017.0,22102.0,60.0,Car,Urban,Graduate,Female,MNC,Yes
87.0,10392.0,8363.0,Salaried,41.0,Single,0.0,720.0,2.0,0.43,12140.0,36577.0,29504.0,36.0,Car,Semiurban,Graduate,Male,Private,Yes
88.0,15067.0,3549.0,Salaried,57.0,Married,0.0,630.0,2.0,0.32,17110.0,3921.0,37835.0,48.0,Business,Semiurban,Graduate,Female,MNC,No
89.0,17265.0,4197.0,Salaried,58.0,Married,1.0,618.0,,,8038.0,5676.0,,48.0,Home,Urban,Graduate,Female,Private,No
90.0,4454.0,7009.0,Contract,21.0,Married,2.0,594.0,2.0,0.22,10067.0,21425.0,1286.0,12.0,Personal,Rural,Graduate,Female,Government,No
91.0,13837.0,6667.0,,45.0,Married,0.0,655.0,2.0,0.37,7952.0,36185.0,,48.0,Car,Urban,Not Graduate,Male,Private,No
92.0,16039.0,2322.0,Self-employed,56.0,Married,1.0,686.0,2.0,0.34,479.0,14463.0,25235.0,48.0,Car,Urban,Graduate,Male,Government,No
93.0,,4090.0,Salaried,37.0,Married,1.0,726.0,1.0,0.45,6915.0,26474.0,10402.0,48.0,Personal,Urban,Graduate,Male,Government,Yes
94.0,11762.0,6960.0,Salaried,44.0,Single,0.0,710.0,0.0,0.13,2794.0,41935.0,12294.0,24.0,Business,Urban,Not Graduate,Male,Private,Yes
95.0,7056.0,3004.0,Self-employed,22.0,Married,0.0,777.0,0.0,0.2,11994.0,2469.0,28599.0,12.0,Personal,Urban,Graduate,Male,MNC,Yes
96.0,,5136.0,Salaried,35.0,Married,2.0,649.0,4.0,0.21,15053.0,8292.0,11872.0,36.0,Home,Urban,Graduate,Female,MNC,Yes
97.0,10110.0,329.0,Salaried,52.0,Single,1.0,695.0,1.0,0.47,3962.0,26409.0,9067.0,48.0,Personal,Semiurban,Graduate,Male,MNC,No
98.0,15773.0,3640.0,Self-employed,59.0,Single,0.0,558.0,1.0,,2234.0,24526.0,18010.0,72.0,Personal,Semiurban,Graduate,Male,,Yes
99.0,19412.0,7982.0,Unemployed,26.0,Single,2.0,611.0,,0.39,13628.0,24465.0,14595.0,84.0,Personal,Semiurban,Graduate,Female,Self,No
100.0,2502.0,4107.0,Self-employed,21.0,Married,3.0,734.0,0.0,0.21,18327.0,31955.0,19255.0,24.0,Personal,Rural,Not Graduate,Female,MNC,No
101.0,8910.0,1341.0,Self-employed,43.0,Single,,578.0,3.0,0.53,12953.0,27785.0,18925.0,48.0,Home,Urban,Not Graduate,Male,MNC,No
102.0,14685.0,8407.0,Unemployed,59.0,Single,1.0,674.0,2.0,0.57,4635.0,22033.0,11231.0,84.0,Personal,Rural,Graduate,Male,Private,No
103.0,2206.0,338.0,Salaried,37.0,Married,2.0,663.0,2.0,0.36,1580.0,7931.0,25926.0,84.0,Personal,Urban,Graduate,Female,Self,No
104.0,,,Self-employed,54.0,Married,3.0,755.0,0.0,,17023.0,2091.0,35881.0,24.0,Car,Semiurban,Graduate,Female,MNC,Yes
105.0,17934.0,2708.0,Unemployed,49.0,Married,2.0,702.0,3.0,0.22,12699.0,26772.0,16453.0,12.0,Personal,Urban,Graduate,Male,Self,Yes
106.0,19247.0,1750.0,Salaried,29.0,Married,1.0,692.0,0.0,0.12,19316.0,17363.0,8880.0,72.0,Home,Rural,Graduate,Male,Private,Yes
107.0,10755.0,5604.0,Self-employed,33.0,Single,1.0,683.0,0.0,0.23,13863.0,29490.0,17572.0,72.0,Car,Semiurban,Graduate,Male,Private,No
108.0,14383.0,2421.0,Self-employed,26.0,Married,2.0,669.0,1.0,0.43,19993.0,1260.0,13226.0,72.0,Education,Urban,Graduate,Female,Unemployed,No
109.0,16820.0,7119.0,Self-employed,26.0,Single,0.0,719.0,1.0,0.37,4542.0,11456.0,34283.0,48.0,Car,Semiurban,Graduate,Male,MNC,No
110.0,9574.0,8901.0,Self-employed,40.0,Married,1.0,706.0,0.0,0.57,16520.0,23320.0,4661.0,24.0,Car,Urban,Graduate,Male,Private,No
111.0,8374.0,5319.0,,,Married,2.0,628.0,2.0,0.3,19429.0,14435.0,24939.0,72.0,Personal,,Graduate,Male,Private,No
112.0,3678.0,6609.0,Contract,37.0,Married,2.0,642.0,2.0,0.45,9616.0,43145.0,10925.0,84.0,Education,Semiurban,Graduate,Female,,No
113.0,3059.0,5387.0,Salaried,32.0,Married,1.0,553.0,3.0,0.34,14244.0,49581.0,2793.0,84.0,Education,Urban,Not Graduate,Male,Government,No
114.0,18198.0,3993.0,Contract,21.0,Single,2.0,631.0,1.0,0.36,104.0,28025.0,20456.0,60.0,Personal,Urban,Graduate,Male,Private,No
,11914.0,8680.0,Salaried,37.0,Single,0.0,791.0,0.0,0.23,10287.0,29109.0,6205.0,60.0,Home,Urban,Not Graduate,Female,Government,
,12817.0,8044.0,Salaried,23.0,Married,1.0,734.0,1.0,0.33,16181.0,21754.0,16319.0,24.0,Education,Semiurban,Not Graduate,Male,MNC,Yes
117.0,12921.0,,Salaried,46.0,Married,2.0,726.0,4.0,0.34,18349.0,5301.0,28304.0,,Personal,Urban,Not Graduate,Male,Self,No
118.0,11789.0,4873.0,Salaried,35.0,Married,0.0,721.0,2.0,0.45,18666.0,8207.0,5762.0,48.0,Car,Semiurban,Graduate,Female,Private,Yes
119.0,18312.0,4806.0,Salaried,56.0,Single,0.0,780.0,3.0,0.57,16114.0,28920.0,10301.0,12.0,Business,Rural,Not Graduate,Male,MNC,No
120.0,13252.0,8592.0,Unemployed,52.0,Married,3.0,,0.0,0.26,4861.0,23203.0,1060.0,12.0,Car,Urban,Graduate,Female,Government,
121.0,4693.0,5913.0,Self-employed,52.0,Married,0.0,,2.0,0.12,4671.0,22545.0,30757.0,72.0,Home,Rural,Graduate,Male,,No
122.0,15931.0,7124.0,Self-employed,24.0,Single,0.0,563.0,0.0,0.35,17732.0,25016.0,8773.0,36.0,Business,Semiurban,Graduate,Male,Government,No
123.0,5627.0,3157.0,Salaried,38.0,Single,3.0,680.0,2.0,0.37,8840.0,32098.0,24452.0,84.0,Personal,Urban,Graduate,Female,Self,No
124.0,18157.0,390.0,Unemployed,39.0,Married,2.0,792.0,4.0,0.18,14929.0,9556.0,20600.0,12.0,Car,Semiurban,Graduate,Male,Unemployed,Yes
125.0,12173.0,4430.0,,,Married,2.0,663.0,4.0,0.48,,47563.0,34238.0,48.0,Car,Semiurban,Graduate,Female,MNC,No
126.0,12230.0,8820.0,Contract,34.0,Single,2.0,611.0,2.0,0.59,14741.0,21102.0,10869.0,84.0,Personal,Semiurban,Graduate,Male,Private,No
127.0,17707.0,7686.0,Salaried,53.0,Single,0.0,655.0,1.0,0.57,10522.0,39893.0,18364.0,36.0,Home,Urban,Graduate,Male,Private,No
,13494.0,4232.0,Salaried,34.0,Married,2.0,613.0,4.0,0.2,17264.0,2924.0,31707.0,12.0,Car,,Graduate,Female,,Yes
129.0,3306.0,8007.0,Salaried,,,,651.0,2.0,0.54,16109.0,20479.0,,24.0,Personal,Rural,Graduate,Male,Self,No
130.0,8776.0,1521.0,,24.0,Single,2.0,722.0,0.0,0.45,15131.0,40451.0,35311.0,60.0,Education,Semiurban,Not Graduate,Male,Self,No
131.0,11474.0,1500.0,Salaried,44.0,,1.0,655.0,1.0,0.33,18960.0,,36759.0,12.0,Personal,Semiurban,Graduate,Male,Private,No
132.0,9526.0,6737.0,Unemployed,49.0,Married,1.0,759.0,0.0,0.37,311.0,,20470.0,12.0,Business,Urban,Graduate,Male,Private,No
133.0,7530.0,3294.0,Salaried,39.0,Married,1.0,735.0,1.0,0.52,6581.0,47099.0,14303.0,24.0,Business,Rural,Not Graduate,Female,MNC,No
134.0,5748.0,5085.0,Salaried,26.0,Single,1.0,569.0,1.0,0.34,16865.0,,7402.0,48.0,,Rural,Graduate,Female,MNC,No
135.0,15545.0,2419.0,Salaried,53.0,Married,2.0,607.0,2.0,0.29,13407.0,1306.0,36304.0,72.0,Home,Urban,Graduate,Female,Private,No
136.0,2663.0,,Salaried,39.0,Single,1.0,661.0,1.0,0.35,16556.0,23959.0,34909.0,24.0,Education,,Not Graduate,Female,Self,No
137.0,3998.0,4497.0,Salaried,21.0,Single,,,0.0,0.39,9095.0,,24031.0,72.0,Car,Rural,Not Graduate,Male,Government,No
138.0,9994.0,1466.0,Salaried,25.0,Married,1.0,606.0,2.0,0.19,1486.0,39796.0,31230.0,12.0,Home,Rural,Graduate,Male,,No
139.0,19879.0,3561.0,Salaried,47.0,Single,1.0,779.0,3.0,0.55,13035.0,13207.0,17117.0,,Home,Semiurban,Graduate,Female,Private,Yes
140.0,5304.0,614.0,Contract,36.0,Single,2.0,754.0,2.0,0.44,7348.0,40426.0,4419.0,36.0,Business,Rural,Not Graduate,Male,Private,No
141.0,15808.0,5392.0,Unemployed,26.0,Married,2.0,745.0,1.0,0.42,16010.0,7336.0,38275.0,12.0,Home,Semiurban,Graduate,Male,Private,No
142.0,8585.0,7693.0,Salaried,33.0,Married,2.0,668.0,4.0,0.15,320.0,47664.0,36126.0,24.0,Home,Urban,Graduate,Female,Government,No
143.0,19675.0,3223.0,Salaried,55.0,Married,,755.0,4.0,0.4,,10630.0,,36.0,Personal,Semiurban,Graduate,Male,Private,Yes
144.0,13649.0,7138.0,Contract,39.0,Single,2.0,646.0,0.0,0.16,15552.0,18256.0,16210.0,60.0,Education,Semiurban,Graduate,Male,Private,Yes
145.0,,2667.0,Salaried,32.0,Single,1.0,641.0,0.0,0.14,9094.0,34909.0,28168.0,36.0,Personal,Rural,Not Graduate,Male,Government,No
146.0,19082.0,7980.0,Salaried,36.0,Married,2.0,601.0,3.0,0.36,19411.0,42168.0,30620.0,24.0,Home,Urban,Not Graduate,Female,Private,
147.0,6737.0,130.0,Contract,30.0,Single,3.0,586.0,3.0,0.3,2347.0,,38584.0,84.0,,Semiurban,Graduate,Male,Self,No
148.0,,,Salaried,45.0,Married,,557.0,4.0,,8809.0,43017.0,6595.0,36.0,Personal,Rural,Graduate,Male,Private,No
149.0,15877.0,4278.0,Self-employed,40.0,Married,2.0,593.0,3.0,0.14,17926.0,46704.0,6415.0,24.0,Home,Urban,Graduate,,Government,Yes
150.0,2854.0,7126.0,Self-employed,51.0,Married,2.0,647.0,,0.32,9984.0,31013.0,31664.0,84.0,Personal,Urban,Not Graduate,Female,MNC,No
151.0,7855.0,8230.0,Salaried,,Married,1.0,785.0,2.0,0.19,13400.0,15455.0,31511.0,12.0,Home,Rural,Graduate,Female,Private,Yes
152.0,9392.0,7694.0,Salaried,43.0,Married,0.0,682.0,0.0,0.59,656.0,5722.0,21652.0,84.0,Education,Semiurban,,Male,Government,No
153.0,15949.0,6640.0,Contract,22.0,Married,1.0,667.0,0.0,0.38,6342.0,13812.0,7192.0,48.0,Personal,Semiurban,Not Graduate,Male,Private,Yes
154.0,7791.0,5468.0,Salaried,42.0,Married,3.0,618.0,1.0,0.44,,31276.0,8284.0,60.0,Home,Rural,Graduate,Male,MNC,No
155.0,6931.0,920.0,Salaried,57.0,Single,2.0,708.0,2.0,0.26,11204.0,37776.0,15989.0,84.0,Education,Urban,Graduate,Male,Unemployed,Yes
156.0,2202.0,7564.0,Self-employed,28.0,Married,1.0,594.0,2.0,,412.0,11060.0,15052.0,48.0,Car,Rural,Graduate,Male,Private,No
157.0,13447.0,8684.0,Salaried,27.0,Married,3.0,686.0,3.0,0.59,4508.0,14056.0,19771.0,48.0,Car,,Not Graduate,Male,Self,No
158.0,14688.0,8502.0,Salaried,34.0,Married,1.0,783.0,1.0,0.24,11153.0,7655.0,17182.0,48.0,Business,Semiurban,Graduate,Male,Private,Yes
159.0,6389.0,8930.0,Contract,23.0,Single,1.0,581.0,,0.31,8839.0,23574.0,24233.0,84.0,Car,Semiurban,Not Graduate,Female,MNC,No
,4327.0,3241.0,Salaried,36.0,Married,2.0,582.0,0.0,0.42,6934.0,14027.0,26182.0,24.0,Car,Rural,Graduate,Female,Private,No
161.0,10004.0,545.0,Contract,39.0,,2.0,,1.0,0.11,19487.0,,7632.0,,Car,,Graduate,Male,Unemployed,Yes
162.0,9777.0,4346.0,Contract,38.0,Single,0.0,616.0,3.0,0.51,2910.0,,22549.0,60.0,Home,Urban,Graduate,Male,Private,No
163.0,2197.0,3810.0,Self-employed,36.0,Married,1.0,,2.0,0.37,12451.0,34289.0,26474.0,,,Urban,Graduate,Male,Government,No
164.0,3930.0,7206.0,Salaried,28.0,Married,1.0,663.0,4.0,,1330.0,20739.0,21557.0,72.0,Business,Urban,Not Graduate,Male,MNC,No
165.0,13774.0,2032.0,,53.0,Single,0.0,753.0,1.0,0.13,12510.0,35168.0,1318.0,24.0,Personal,Semiurban,Graduate,Male,Unemployed,Yes
166.0,17087.0,8436.0,Salaried,32.0,Married,1.0,578.0,,0.18,13003.0,45698.0,30771.0,24.0,Car,Rural,Graduate,Male,Private,No
167.0,11339.0,271.0,Self-employed,31.0,Married,1.0,680.0,1.0,0.55,11224.0,37491.0,13698.0,24.0,Car,Rural,Graduate,Female,Government,No
168.0,13589.0,3511.0,Salaried,25.0,Married,0.0,767.0,1.0,0.44,2339.0,31013.0,33710.0,12.0,Education,Urban,Graduate,Female,Private,No
169.0,17708.0,1771.0,Salaried,47.0,Married,1.0,734.0,3.0,0.22,18919.0,,12040.0,60.0,Education,Semiurban,Graduate,Male,Private,No
170.0,19043.0,4361.0,Salaried,32.0,Married,0.0,579.0,2.0,0.13,10547.0,19242.0,21905.0,72.0,,Semiurban,Graduate,Female,Private,No
